created_at,text,reply_count,retweet_count,favorite_count,utc_offset,location,followers_count,verified,lang,geo,coordinates,place
Wed Apr 04 04:10:21 +0000 2018,"RT @IKTayWT: If you’re from America, JUST LEAVE YOUR PHONE STREAMING wether you’re having lunch, breakfast, studying

If you’re from Europe…",0,0,0,-25200,,1550,False,en,,,
Wed Apr 04 04:10:22 +0000 2018,"yet here I am- a decade later, eating mint chip ice cream and pairing it with $7 costco sangria wine while I procra… https://t.co/iN0XjQ5x1z",0,0,0,-25200,【=◈︿◈=】,3044,False,en,,,
Wed Apr 04 04:10:22 +0000 2018,End with a beer in hand #LifeGoalsIn5Words,0,0,0,,"Colorado Springs, CO",30,False,en,,,
Wed Apr 04 04:10:22 +0000 2018,コウタ：翔が自動販売機の前で｢ありったけの小銭～かき集め～ 捜し物を探しに行くのさ～coffee！｣ってコーヒーのボタン押したのだけでもヤバかったのに押すボタン間違えたのかコーヒーじゃなくてコーラが出てきて腹筋が死んだ,0,0,0,,,17,False,ja,,,
Wed Apr 04 04:10:22 +0000 2018,"RT @keeh_feernandes: Poucos tão lá quando seu olho lacrimeja, muitos tão lá quando tem carne, whisky e cerveja",0,0,0,-25200,,470,False,pt,,,
Wed Apr 04 04:10:22 +0000 2018,RT @adriknows: No longer Monday so here's some coffee to that thought 🍻 https://t.co/ggKFH1trzC,0,0,0,,miami,490,False,en,,,
Wed Apr 04 04:10:22 +0000 2018,Iced **** https://t.co/VBAoQcb4DP,0,0,0,-10800,"Charlotte, NC",186,False,en,,,
Wed Apr 04 04:10:22 +0000 2018,"RT @Kristen_Arnett: this morning at 7-eleven i saw a lizard next to the coffee maker and the cashier said ""no worries that's just marvin, h…",0,0,0,-25200,,394,False,en,,,
Wed Apr 04 04:10:23 +0000 2018,RT @Ajchp56: #ApoyenLasSolicitudesdeMedicinacon1Rt. #ServicioPúblico @sebuscasedona @fundatiacruz  @AyudaSOSVzla https://t.co/NVmxQpddnP,0,0,0,-14400,Venezuela,22155,False,und,,,
Wed Apr 04 04:10:23 +0000 2018,Tea🤭 https://t.co/85EiVAhrrA,0,0,0,-25200,,69,False,und,,,
Wed Apr 04 04:10:23 +0000 2018,"Minuman fav starback yg selalu w order ice shaken lemon tea, klu pgn ngopi yg enak itu caramel machiato, klu lg gak… https://t.co/uwTvTIifTU",0,0,0,,Rahasia,22,False,in,,,
Wed Apr 04 04:10:24 +0000 2018,"RT @GidMK: So, had a quick fun look at the California coffee/cancer claim and it's even sillier than you might imagine

Follow this thread…",0,0,0,-25200,"Nevada, USA",367,False,en,,,
Wed Apr 04 04:10:24 +0000 2018,RT @sammysunshine: @kathygriffin @TonyAtamanuik @PresidentShow Am I cracking up or are the buttons tiny brass skulls? I splorted my tea whe…,0,0,0,-14400,Living in a post 11/9 World,34409,True,en,,,
Wed Apr 04 04:10:24 +0000 2018,"the smell of flowers and coffee

bonne nuit",0,0,0,-28800,atlantic canada ,279,False,en,,,
Wed Apr 04 04:10:24 +0000 2018,Omg 😂 y’all read the original thread &amp; response from 7-elven https://t.co/9OIhsqpVUa,0,0,0,-18000,"Queen City, Texas",517,False,en,,,
Wed Apr 04 04:10:24 +0000 2018,"RT @astrobebs: Aries: gossip sesh! I have TEA
You: ooh nice, what's your gossip?
Aries: *goes on a 23 hour spiel about themselves*
You: oka…",0,0,0,-18000,,1511,False,en,,,
Wed Apr 04 04:10:25 +0000 2018,I respect and love Marvin https://t.co/mshoAc74kV,0,0,0,-10800,,238,False,en,,,
Wed Apr 04 04:10:25 +0000 2018,"RT @ImPascualInigo: Tennessee Whiskey 🥃
•
#Cover https://t.co/ua0WOa9QpM",0,0,0,,Riyahd Saudi Arabia,780,False,en,,,
